dish_id,ingredient_name,quantity,unit,category
26,醤油,1,大さじ,調味料
26,めんつゆ,1,大さじ,調味料
26,黒こしょう,1,少々,調味料
27,白米,150,g,主食
27,卵,2,個,卵
27,長ねぎ,0.5,本,野菜
27,水,200,ml,その他
27,鶏ガラスープの素,1,小さじ,調味料
27,醤油,1,小さじ,調味料
27,片栗粉,1,小さじ,調味料
27,サラダ油,1,小さじ,調味料
28,キャベツ,0.25,玉,野菜
28,ごま油,1,小さじ,調味料
28,鶏ガラスープの素,0.5,小さじ,調味料
28,黒こしょう,1,少々,調味料
29,長ねぎ,0.5,本,野菜
29,水,300,ml,その他
29,鶏ガラスープの素,1,小さじ,調味料
29,醤油,0.5,小さじ,調味料
29,ごま油,0.5,小さじ,調味料
30,豚こま肉,150,g,肉
30,キャベツ,0.25,玉,野菜
30,玉ねぎ,1,個,野菜
30,ピーマン,2,個,野菜
30,味噌,1,大さじ,調味料
30,みりん,1,大さじ,調味料
30,醤油,1,小さじ,調味料
30,豆板醤,1,小さじ,調味料
30,サラダ油,1,小さじ,調味料
31,うどん,1,玉,主食
31,卵,1,個,卵
31,めんつゆ,1,大さじ,調味料
31,醤油,0.5,小さじ,調味料
32,豚こま肉,150,g,肉
32,ピーマン,3,個,野菜
32,玉ねぎ,1,個,野菜
32,ごま油,1,小さじ,調味料
32,醤油,1,大さじ,調味料
32,みりん,1,大さじ,調味料
32,鶏ガラスープの素,1,小さじ,調味料
32,にんにくチューブ,2,cm,調味料
33,鶏もも肉,150,g,肉
33,卵,2,個,卵
33,醤油,1,大さじ,調味料
33,酢,1,大さじ,調味料
33,砂糖,1,小さじ,調味料
33,マヨネーズ,2,大さじ,調味料
33,キャベツ,0.25,玉,野菜
34,卵,1,個,卵
34,水,300,ml,その他
34,鶏ガラスープの素,1,小さじ,調味料
34,醤油,0.5,小さじ,調味料
34,ごま油,0.5,小さじ,調味料
35,豚バラ薄切り,150,g,肉
35,玉ねぎ,1,個,野菜
35,長ねぎ,0.33,本,野菜
35,白米,150,g,主食
35,醤油,1,大さじ,調味料
35,みりん,1,大さじ,調味料
35,砂糖,1,小さじ,調味料
36,じゃがいも,3,個,野菜
36,玉ねぎ,1,個,野菜
36,ベーコン,1,パック,肉
36,コンソメ,1,小さじ,調味料
36,塩こしょう,少々,,調味料
36,サラダ油,1,小さじ,調味料
37,うどん,1,玉,主食
37,豚バラ薄切り,150,g,肉
37,長ねぎ,1,本,野菜
37,めんつゆ,3,大さじ,調味料
38,鶏もも肉,150,g,肉
38,もやし,1,袋,野菜
38,鶏ガラスープの素,1,小さじ,調味料
38,ごま油,1,小さじ,調味料
38,にんにくチューブ,2,cm,調味料
38,黒こしょう,1,少々,調味料
39,じゃがいも,1,個,野菜
39,ベーコン,0.5,パック,肉
39,水,400,ml,その他
39,コンソメ,1.5,小さじ,調味料
39,塩こしょう,少々,,調味料
40,豚バラ薄切り,150,g,肉
40,もやし,1,袋,野菜
40,大根おろしのたれ,3,大さじ,調味料
41,白米,150,g,主食
41,鶏もも肉,150,g,肉
41,玉ねぎ,1,個,野菜
41,卵,2,個,卵
41,牛乳,1,大さじ,乳製品
41,バター,10,g,乳製品
41,ケチャップ,3,大さじ,調味料
41,サラダ油,1,小さじ,調味料
41,塩,少々,,調味料
41,こしょう,少々,,調味料
42,水,300,ml,その他
42,玉ねぎ,1,個,野菜
42,ベーコン,1,パック,肉
42,コンソメ,1,小さじ,調味料
42,黒こしょう,少々,,調味料
43,豚バラ薄切り,150,g,肉
43,ピーマン,3,個,野菜
43,玉ねぎ,1,個,野菜
43,サラダ油,1,小さじ,調味料
43,味噌,1,大さじ,調味料
43,醤油,1,大さじ,調味料
43,みりん,1,大さじ,調味料
43,料理酒,1,大さじ,調味料
43,砂糖,1,小さじ,調味料
43,おろしにんにく,1,小さじ,調味料
44,ベーコン,4,枚,肉
44,卵,2,個,卵
44,サラダ油,1,小さじ,調味料
44,黒こしょう,少々,,調味料
45,豚バラ薄切り,150,g,肉
45,もやし,1,袋,野菜
45,にんじん,1,本,野菜
45,ピーマン,1,個,野菜
45,サラダ油,1,小さじ,調味料
45,醤油,1,大さじ,調味料
45,料理酒,1,大さじ,調味料
45,鶏ガラスープの素,1,小さじ,調味料
45,にんにくチューブ,2,cm,調味料
45,黒こしょう,適量,,調味料
46,冷凍うどん,1,玉,麺
46,豚バラ薄切り,150,g,肉・魚
46,きゅうり,1,本,野菜
46,長ねぎ,1,本,野菜
46,ミニトマト,3,個,野菜
46,大根おろしのたれ,適量,,調味料
47,絹ごし豆腐,150,g,豆腐
47,しょうゆ,適量,,調味料
48,きゅうり,2,本,野菜
48,塩,0.5,小さじ,調味料
48,めんつゆ,3,大さじ,調味料
48,酢,2,大さじ,調味料
48,ごま油,1,大さじ,調味料
48,砂糖,1,小さじ,調味料
48,鶏ガラスープの素,1,小さじ,調味料
48,しょうがチューブ,4,cm,調味料
48,にんにくチューブ,4,cm,調味料
49,鶏ひき肉,150,g,肉
49,醤油,1,大さじ,調味料
49,みりん,1,大さじ,調味料
49,料理酒,1,大さじ,調味料
49,砂糖,1,小さじ,調味料
49,しょうがチューブ,2,cm,調味料
49,卵,2,個,卵
49,砂糖,0.5,小さじ,調味料
49,塩,少々,,調味料
49,白米,150,g,主食
49,長ねぎ（小口切り）,適量,,野菜
50,冷凍うどん,1,玉,麺
50,豚バラ薄切り,150,g,肉
50,長ねぎ,1,本,野菜
50,ごま油,1,大さじ,調味料
50,塩,0.3,小さじ,調味料
50,鶏ガラスープの素,1,小さじ,調味料
50,酒,1,大さじ,調味料
50,黒こしょう,適量,,調味料
51,豚バラ薄切り,150,g,肉
51,玉ねぎ,1,個,野菜
51,白米,150,g,主食
51,醤油,1,大さじ,調味料
51,酒,1,大さじ,調味料
51,みりん,1,大さじ,調味料
51,にんにくチューブ,3,cm,調味料
51,黒こしょう,適量,,調味料
51,サラダ油,1,小さじ,調味料
52,ピーマン,2,個,野菜
52,ごま油,1,小さじ,調味料
52,鶏ガラスープの素,0.5,小さじ,調味料
52,黒こしょう,適量,,調味料
53,焼きそば麺,3,玉,麺
53,鶏もも肉,150,g,肉
53,キャベツ,0.25,玉,野菜
53,にんじん,1,本,野菜
53,ピーマン,2,個,野菜
53,卵,2,個,卵
53,サラダ油,1,大さじ,調味料
53,焼きそばソース,3,袋,調味料
53,塩,少々,,調味料
53,黒こしょう,適量,,調味料
53,マヨネーズ,適量,,調味料
54,白米,150,g,主食
54,鶏肉,150,g,肉
54,キャベツ,0.25,玉,野菜
54,玉ねぎ,0.5,個,野菜
54,ごま油,1,小さじ,調味料
54,味噌,1,大さじ,調味料
54,醤油,1,小さじ,調味料
54,みりん,1,大さじ,調味料
54,砂糖,1,小さじ,調味料
54,豆板醤,0.5,小さじ,調味料
54,にんにくチューブ,2,cm,調味料
55,中華麺,1,玉,麺
55,ひき肉,150,g,肉
55,卵,1,個,卵
55,ごま油,1,小さじ,調味料
55,味噌,1,大さじ,調味料
55,醤油,1,小さじ,調味料
55,みりん,1,大さじ,調味料
55,砂糖,1,小さじ,調味料
55,豆板醤,0.5,小さじ,調味料
55,にんにくチューブ,2,cm,調味料
55,水,2,大さじ,調味料
56,白米,150,g,主食
56,キャベツ,0.125,玉,野菜
56,玉ねぎ,1,個,野菜
56,卵,1,個,卵
56,ごま油,2,小さじ,調味料
56,鶏ガラスープの素,1,小さじ,調味料
56,醤油,1,小さじ,調味料
56,塩,少々,,調味料
56,黒こしょう,適量,,調味料
57,じゃがいも,1,個,野菜
57,ベーコン,4,枚,肉
57,サラダ油,1,小さじ,調味料
57,塩,少々,,調味料
57,黒こしょう,適量,,調味料
58,白米,150,g,主食
58,豚こま切れ肉,150,g,肉
58,玉ねぎ,1,個,野菜
58,焼肉のたれ,2,大さじ,調味料
58,サラダ油,1,小さじ,調味料
58,黒こしょう,適量,,調味料
59,キャベツ,0.125,玉,野菜
59,ごま油,1,小さじ,調味料
59,鶏ガラスープの素,0.5,小さじ,調味料
59,にんにくチューブ,1,cm,調味料
59,塩,少々,,調味料
59,黒こしょう,適量,,調味料
60,パスタ,100,g,麺
60,ベーコン,4,枚,肉
60,玉ねぎ,1,個,野菜
60,ピーマン,2,個,野菜
60,卵,1,個,卵
60,サラダ油,1,小さじ,調味料
60,ケチャップ,4,大さじ,調味料
60,ウスターソース,1,小さじ,調味料
60,塩,少々,,調味料
60,黒こしょう,適量,,調味料
61,キャベツ,0.125,玉,野菜
61,マヨネーズ,1,大さじ,調味料
61,酢,1,小さじ,調味料
61,砂糖,0.5,小さじ,調味料
61,塩,少々,,調味料
61,黒こしょう,少々,,調味料
62,水,250,ml,調味料
62,コンソメ,1,小さじ,調味料
62,塩,少々,,調味料
62,黒こしょう,少々,,調味料
63,うどん,1,玉,麺
63,鶏もも肉,150,g,肉
63,卵,1,個,卵
63,ミニトマト,5,個,野菜
63,サラダ油,1,小さじ,調味料
63,塩,少々,,調味料
63,黒こしょう,少々,,調味料
63,めんつゆ,2,大さじ,調味料
63,水,2,大さじ,調味料
63,酢,1,小さじ,調味料
63,しょうがチューブ,2,cm,調味料
64,キャベツ,0.125,玉,野菜
64,サラダ油,1,小さじ,調味料
64,鶏ガラスープの素,0.5,小さじ,調味料
64,にんにくチューブ,1,cm,調味料
64,塩,少々,,調味料
64,黒こしょう,適量,,調味料
65,白米,150,g,主食
65,キムチ,100,g,野菜
65,ベーコン,4,枚,肉
65,ピーマン,1,個,野菜
65,卵,1,個,卵
65,ごま油,1,小さじ,調味料
65,醤油,1,小さじ,調味料
65,鶏ガラスープの素,0.5,小さじ,調味料
65,にんにくチューブ,1,cm,調味料
65,黒こしょう,少々,,調味料
66,きゅうり,1,本,野菜
66,醤油,1,小さじ,調味料
66,酢,2,小さじ,調味料
66,砂糖,0.5,小さじ,調味料
66,ごま油,0.5,小さじ,調味料
66,鶏ガラスープの素,0.25,小さじ,調味料
67,もやし,0.5,袋,野菜
67,水,300,ml,調味料
67,鶏ガラスープの素,1.5,小さじ,調味料
67,醤油,0.5,小さじ,調味料
67,ごま油,0.5,小さじ,調味料
67,黒こしょう,少々,,調味料
68,白米,150,g,主食
68,豚こま切れ肉,150,g,肉
68,豆腐,1,丁,その他
68,水,100,ml,調味料
68,醤油,1.5,大さじ,調味料
68,みりん,1.5,大さじ,調味料
68,料理酒,1,大さじ,調味料
68,砂糖,2,小さじ,調味料
68,しょうがチューブ,2,cm,調味料
69,きゅうり,2,本,野菜
69,塩,0.5,小さじ,調味料
69,めんつゆ,3,大さじ,調味料
69,酢,2,大さじ,調味料
69,ごま油,1,大さじ,調味料
69,砂糖,1,小さじ,調味料
69,鶏ガラスープの素,1,小さじ,調味料
69,しょうがチューブ,4,cm,調味料
69,にんにくチューブ,4,cm,調味料
70,卵,1,個,卵
70,水,300,ml,調味料
70,和風だし,1,小さじ,調味料
70,醤油,1,小さじ,調味料
70,みりん,1,小さじ,調味料
70,塩,少々,,調味料
71,牛豚合い挽き肉,150,g,肉
71,玉ねぎ,0.5,個,野菜
71,卵,0.5,個,卵
71,パン粉,2,大さじ,調味料
71,牛乳,1.5,大さじ,調味料
71,塩,0.25,小さじ,調味料
71,黒こしょう,少々,,調味料
71,サラダ油,0.5,小さじ,調味料
71,ケチャップ,1.5,大さじ,調味料
71,ウスターソース,1,大さじ,調味料
71,水,1,大さじ,調味料
71,バター,2.5,g,調味料
72,じゃがいも,1,個,野菜
72,バター,5,g,調味料
72,塩,少々,,調味料
72,黒こしょう,少々,,調味料
